Dates,News,sentiment,probabilities
18-05-2018,"Gold futures fall to Rs 31,200 per 10 gm",neutral,[0.00914699 0.9561391  0.03471394]
08-06-2017,Gold prices log lowest settlement in a week,neutral,[0.01499273 0.9457747  0.03923259]
13-03-2018,Gold futures weaken by 0.09% on global cues,neutral,[0.01059759 0.9694271  0.01997521]
30-05-2017,Gold prices pull back after climbing over the last three weeks,neutral,[0.14920418 0.80053306 0.05026273]
05-06-2017,Gold hits highest in over six weeks as US jobs data disappoints,neutral,[0.25616527 0.6844134  0.05942134]
12-12-2017,gold inches up from near 5-mth low ahead of fed meeting,negative,[0.9290707  0.03440868 0.03652063]
18-01-2017,Gold slips from a 2-month high as the dollar stages a rebound,neutral,[0.12889168 0.8360564  0.03505191]
26-12-2018,gold powers to six-month high as turmoil fires up haven demand,negative,[0.51751584 0.32963914 0.15284505]
30-11-2017,Gold Prices Remain Lower After Upbeat U.S. Data,neutral,[0.1619756  0.7898467  0.04817772]
18-10-2017,india tightens gold import norms for nominated agencies,neutral,[0.05886924 0.7244086  0.2167221 ]
23-05-2018,"mitsubishi : $1,300 is a 'trap door' and here's how gold can break out of it",positive,[0.03713328 0.04570337 0.9171634 ]
27-12-2017,gold eases from 3 week top as dollar holds steady,negative,[0.5092502  0.4307304  0.06001936]
25-01-2018,gold prices look to ecb rate decision for new direction cues,positive,[0.18971135 0.03890546 0.7713832 ]
01-08-2017,Gold adds to early gains after ISM manufacturing report,negative,[0.665678   0.12212428 0.21219774]
09-11-2017,"Gold ends at a more than 3-week high as U.S. equities, dollar weaken",neutral,[0.3682785  0.57163227 0.06008922]
05-01-2018,venezuela forced to pay for medicine with diamonds and gold,neutral,[0.02727062 0.77036375 0.20236559]
26-05-2017,Gold futures rule firm,positive,[0.06759132 0.12808482 0.80432385]
12-01-2018,gold may jump over 20% as investors eye inflation,negative,[0.8913207  0.02303462 0.08564463]
13-09-2017,Gold prices mark lowest finish month to date,neutral,[0.00975158 0.95930266 0.03094569]
15-10-2018,india : domestic price of gold may rise up to 3% by diwali as rupee weakens,negative,[0.94672036 0.02208023 0.03119943]
09-04-2018,cryptocurrency traders use old gold in drive to draw muslim investors,positive,[0.07946192 0.03902256 0.8815155 ]
08-08-2018,bis gold market intervention increased by 17% in july,negative,[0.9478321  0.0131312  0.03903668]
27-03-2017,Gold ends at a 1-month high as traders shy away from risky assets,negative,[0.7306522  0.21413474 0.05521303]
09-02-2018,"april gold falls $3.30, or 0.3%, to settle at $1,315.70/oz",neutral,[0.04566367 0.9173735  0.03696283]
05-10-2017,gold little changed in quiet trade ahead of us jobs data,positive,[0.19843215 0.21514729 0.5864206 ]
12-10-2018,Gold futures slip on weak global cues,neutral,[0.02383557 0.9387743  0.03739015]
26-10-2017,"December gold down 0.1% at $1,277/oz.",neutral,[0.011015   0.9690167  0.01996826]
13-07-2017,"UPDATE: Gold ticks slightly higher after jobless-claims, PPI reports",negative,[0.5018698  0.43054035 0.0675898 ]
27-02-2017,gold to trade in 29456-29732 range: achiievers equities,positive,[0.05215333 0.02172578 0.92612094]
24-03-2018,Gold valued at over Rs 50 lakh seized in 5 separate cases,positive,[0.09030604 0.20280647 0.70688754]
07-06-2017,"Profit-booking, weak global cues pull gold, silver futures down",neutral,[0.03189222 0.93778795 0.03031983]
08-02-2018,"gold prices up as china central bank pumps up liquidity, prices data stable",negative,[0.7620418  0.08505407 0.15290411]
05-04-2017,Gold settles lower as robust economic data boost risky assets,neutral,[0.24401784 0.68284684 0.07313532]
06-06-2018,"charts : gold price outlook fails to turn bullish, downside resolution possible",neutral,[0.01880909 0.94860095 0.03259004]
03-09-2018,"Gold drops to Rs 31,250; silver slumps below Rs 38K-mark",neutral,[0.01191203 0.9662929  0.0217951 ]
17-01-2017,"Feb. gold settles at $1,212.90/oz, up $16.70, or 1.4%",negative,[0.94091046 0.0345     0.02458957]
04-09-2017,"Gold futures climb to Rs 30,064 per 10 gm",negative,[0.7076509  0.15384346 0.13850565]
22-11-2017,Gold holds near settlement price in electronic trading after FOMC minutes,negative,[0.5047577  0.24053007 0.25471216]
05-06-2017,russian gold producer polyus returning to lse,positive,[0.18410954 0.03436756 0.781523  ]
12-07-2018,supply : world running out of gold & there's no substitute,positive,[0.04291721 0.45403257 0.5030502 ]
29-03-2017,Gold extends retreat from a 1-month high,neutral,[0.4712508  0.48100296 0.04774619]
08-11-2017,Gold futures settle at highest level in nearly 3 weeks,negative,[0.72653204 0.12278666 0.15068133]
28-02-2017,"April gold down 20 cents to trade at $1,258.60/oz",neutral,[0.02515498 0.9527805  0.02206454]
08-06-2017,Gold prices end at 1-week low,neutral,[0.02224667 0.7426409  0.23511249]
05-06-2017,"August gold settles at $1,282.70/oz, up $2.50, or 0.2%",negative,[0.94017977 0.03524102 0.02457921]
22-02-2018,rates : gold prices 'hit by deep link' to real yields but 'should gain' on inflation,negative,[0.91847825 0.04210759 0.03941423]
31-08-2017,Gold futures climb roughly 4% for the month,negative,[0.8979465  0.06152431 0.04052912]
22-06-2017,"August gold trades up $8.40, or 0.7%, at $1,254.10/oz.",negative,[0.9319499  0.03784167 0.03020839]
14-12-2017,Gold Prices Trim Gains but Remain Supported,neutral,[0.34539896 0.61500674 0.03959442]
09-05-2018,china c.bank issues draft guidelines for online gold business -exchange,positive,[0.06112355 0.0127682  0.92610824]
13-07-2018,gold futures lose about 1.2% for the week,neutral,[0.00927867 0.97235143 0.01836993]
04-08-2017,"gold will not be in demand as long as inflation is low: sanjay shah, hsbc global asset management",positive,[0.08387666 0.03203381 0.8840896 ]
03-01-2019,"multiple fx pairs suddenly flash crash, yields tumble, gold surges",neutral,[0.06187905 0.7126427  0.22547825]
08-09-2017,special podcast: gold hits 10-month high; should you invest?,positive,[0.12025133 0.01528287 0.8644658 ]
20-12-2018,refining : swedish researchers melt gold at room temperature,positive,[0.04668159 0.02425991 0.92905855]
08-05-2017,Gold prices settle slightly higher after three-session decline,negative,[0.8425241  0.11590241 0.04157351]
11-10-2017,"Dec. gold settles at $1,288.90/oz, down $4.90, or 0.4%",neutral,[0.0093713  0.97345257 0.01717606]
04-01-2018,Gold falls from 3-1/2-month high,neutral,[0.06424312 0.9203926  0.01536432]
06-02-2018,physical : gold investment demand down 23% in 2017,neutral,[0.00698667 0.9734167  0.01959665]
20-02-2018,"gold resumes backing off from 1,360 as equities slide in thin asia markets",neutral,[0.04487354 0.9382452  0.01688125]
26-11-2017,asia gold demand sluggish as high prices deter buyers,neutral,[0.02418728 0.950976   0.02483668]
28-03-2018,"april gold down $9.30, or 0.7%, at $1,332.70 an ounce",neutral,[0.01498127 0.96294844 0.02207024]
30-11-2017,"gold rate today: gold, silver up in morning trade; should you buy?",positive,[0.11806129 0.02159022 0.8603485 ]
21-06-2017,Gold futures prices mark first gain in three sessions,negative,[0.7827034  0.07088742 0.14640923]
24-08-2018,"NITI Aayog suggests slashing import duty, GST rate on gold ",neutral,[0.06882175 0.66886896 0.2623093 ]
27-06-2017,"August gold settles at $1,246.90/oz, up 50 cents",negative,[0.9350931  0.03063463 0.03427218]
03-05-2017,"June gold falls $8.50, or 0.7%, to settle at $1,248.50/oz",neutral,[0.05552139 0.90530795 0.03917062]
31-03-2017,"June gold off $4.80, or 0.4%, at $1,243.20/oz.",neutral,[0.057293   0.91701806 0.02568892]
08-03-2017,"April gold down $6.70, or 0.6%, to settle at $1,209.40/oz",neutral,[0.01617382 0.9620309  0.02179531]
10-05-2018,gold prices steady amid firm dollar; iran tensions support,negative,[0.616606   0.29740098 0.08599301]
18-05-2017,"June gold up 70 cents, or less than 0.1%, at $1,259.80/oz.",negative,[0.88266695 0.08209485 0.03523829]
06-01-2017,"Gold ends lower after jobs report, but scores second straight weekly gain",neutral,[0.05940835 0.9178265  0.02276521]
26-10-2018,coins : buyers return to gold coin market,positive,[0.09395988 0.01686431 0.8891758 ]
18-09-2017,"Gold futures decline to Rs 29,736",neutral,[0.01593737 0.9421074  0.04195522]
05-10-2017,"December gold rises 0.2% at $1,279/oz.",negative,[0.74963254 0.21626611 0.03410133]
11-01-2018,gold prices gain in asia after chinese trade data mixed,negative,[0.5086985  0.32229495 0.16900647]
04-04-2017,"gold settles up $4.40, or 0.4%, at $1,258.40 an ounce",negative,[0.9188379  0.04582922 0.0353328 ]
07-12-2017,gold prices settle at lowest since late july,neutral,[0.01213508 0.93853396 0.04933104]
21-11-2018,"world gold council, mmtc-pamp launch india's first precious metals assay and training institute",positive,[0.23826694 0.00734918 0.75438386]
10-08-2017,"Gold post back-to-back gains, ends at 2-month high",negative,[0.8431029  0.07809702 0.07880008]
17-01-2017,Outlook stays bullish for gold,negative,[0.6367757  0.16046812 0.20275615]
23-09-2018,gold vs bitcoin: which one is the better investment?,positive,[0.08166363 0.02950959 0.8888267 ]
12-12-2017,sharps pixley: gold facing severe headwinds despite overvalued dollar - murenbeeld,neutral,[0.19952708 0.74076086 0.05971207]
16-10-2017,Gold holds slight gain after Empire State manufacturing report,negative,[0.69051284 0.18028016 0.129207  ]
06-10-2017,"Gold for December delivery off 0.4% at $1,268.00 vs $1,270 before data",neutral,[0.02257711 0.9661251  0.01129785]
21-06-2017,"August gold gains $2.30, or 0.2%, to settle at $1,245.80/oz",negative,[0.80704755 0.15060787 0.04234458]
19-09-2018,"Gold rallies on positive global cues, jewellers' buying",negative,[0.8881333  0.04747223 0.06439454]
09-10-2018,"Commodity Outlook: Gold may rest easy at Rs 31,100",positive,[0.21047315 0.04310124 0.7464256 ]
11-12-2017,gold bullion premiums at multi-year lows,neutral,[0.0237755  0.9497781  0.02644643]
12-05-2017,gold to trade in 27849-28171: achiievers equities,positive,[0.08441266 0.02023791 0.89534944]
03-01-2017,Gold starts 2017 on positive note,negative,[0.8815923  0.04399857 0.07440922]
14-02-2018,Expect Gold prices to trade positive: Sushil Finance,negative,[0.7517517  0.01097817 0.23727007]
12-06-2017,Gold prices decline for 4th session in a row,neutral,[0.01642234 0.95384026 0.02973741]
19-01-2017,"Gold futures log biggest one-day loss of the year, but hold above $1,200 an ounce",neutral,[0.02106404 0.9565209  0.02241509]
22-06-2018,"Gold futures down at Rs 30,864 per 10 gm",neutral,[0.00905197 0.95624894 0.03469897]
21-09-2018,Gold hits near 1-week high as easing trade concerns hurt dollar,neutral,[0.3596488  0.601597   0.03875422]
03-03-2017,"Gold ends with a loss, prices suffer weekly drop of 2.5%",neutral,[0.01139371 0.972429   0.01617735]
06-11-2017,Gold jumps by the most in 6 weeks as crude oil rallies,negative,[0.88158005 0.03637765 0.08204227]
04-10-2017,"Dec. gold pares gains, up 0.1% at $1,275.90/oz after ISM services data",negative,[0.9391143  0.0324599  0.02842588]
07-12-2017,gold slides to 4-month low as dollar edges up,neutral,[0.0232327  0.9434961  0.03327109]
17-07-2017,"Gold ends above key $1,230 level as investors weigh interest-rate outlook",negative,[0.81056124 0.11165992 0.07777874]
21-11-2018,Gold gains as dollar slips on US jobs data,neutral,[0.05054443 0.9039683  0.04548729]
09-04-2018,marriage of gold and crypto: a match made in investment heaven?,positive,[0.04379201 0.04537069 0.91083735]
09-03-2017,gold steady near five-week low ahead of us jobs data,neutral,[0.03747039 0.89463943 0.06789015]
16-08-2017,Gold settles with a gain after turning higher near the session's end,negative,[0.83953226 0.08144655 0.07902117]
30-04-2018,wells fargo : silver has more upside potential than gold,positive,[0.392606   0.01715888 0.5902351 ]
17-10-2018,gold futures remain slightly lower after housing data,neutral,[0.02688888 0.93225807 0.04085308]
06-11-2017,gold prices move down rs 115 after safe haven appeal hit,neutral,[0.02160934 0.9371634  0.04122715]
03-02-2017,"Gold ends higher, books best weekly gain in seven months",negative,[0.9326998  0.0386807  0.02861952]
07-05-2018,gold prices flat as prospect of further fed rate hikes weigh,neutral,[0.24786992 0.62236863 0.12976141]
15-11-2017,Gold prices mark first loss in three sessions,neutral,[0.04163614 0.91069394 0.04766991]
26-09-2017,Gold prices to trade higher Angel Commodities,negative,[0.7866429  0.04061715 0.17273998]
19-07-2018,gold looks to stage a modest recovery amid highly oversold conditions,negative,[0.93404806 0.04443452 0.02151743]
14-11-2018,"dec. gold climbs by $8.70, or 0.7%, to settle at $1,210.10/oz",negative,[0.8777434  0.08402603 0.03823061]
11-04-2017,CME Group is launching a gold-trading platform inspired by bitcoin,positive,[0.171385   0.00851714 0.82009786]
23-10-2017,gold hits 2-week low as dollar rallies vs yen,neutral,[0.04616125 0.89081585 0.06302287]
30-07-2018,gold notches 3rd straight loss ahead of fed meeting,neutral,[0.02632762 0.94396317 0.02970912]
06-09-2018,bnp paribas : gold is excellent way to hedge for longer term,negative,[0.80451494 0.00761045 0.18787454]
19-07-2017,gold takes a breather after rallying to 3-week highs,negative,[0.41152734 0.26135415 0.32711855]
24-07-2017,"Gold settles lower, ending 6-session streak of gains",neutral,[0.04012194 0.9199757  0.03990236]
06-07-2017,Gold dips as Fed minutes signal no consensus on rate hikes,neutral,[0.03147058 0.8938188  0.0747106 ]
16-07-2018,sharps pixley: china's gold reserves - fact or fiction?,positive,[0.03414345 0.05541881 0.91043776]
22-12-2017,germany : sharing risks to counter germany's plans seeing target2 collaterilazation with gold reserves,negative,[0.7522015  0.00941672 0.23838179]
17-08-2017,surge in gold imports: government notifies rules for safeguard probes against south korea,neutral,[0.23406482 0.5003795  0.26555562]
15-12-2017,"gold steady amid subdued dollar, poised for weekly gain",negative,[0.7469239  0.11879975 0.13427627]
24-10-2018,amp capital's naeimi likes gold,positive,[0.17583756 0.0260201  0.7981424 ]
13-08-2018,Gold edges down as dollar holds firm near 13-month high,neutral,[0.05012375 0.9215722  0.02830414]
15-02-2018,"gold settles lower as as dow, s&p 500 try for fifth straight gain",neutral,[0.08060612 0.84658325 0.07281069]
23-11-2017,gold steady as dollar licks wounds after biggest drop since june,neutral,[0.16648576 0.7581014  0.07541289]
28-09-2018,Gold futures slide 0.15% on global cues,neutral,[0.0150937  0.95339924 0.03150706]
31-01-2017,Gold futures mark largest monthly gain since June,negative,[0.8977217  0.04158208 0.06069616]
18-01-2017,Gold turns slightly positive after consumer-price data,negative,[0.8569429  0.08816936 0.05488776]
28-07-2017,"August gold climbs $8.40, or 0.7%, to settle at $1,268.40.oz",negative,[0.81996006 0.12607138 0.05396862]
26-05-2017,"June gold gains $10.80, or 0.9%, to $1,267.20/oz",negative,[0.8892552  0.08268756 0.02805718]
27-06-2018,Gold hovers near 6-month low as dollar remains steady,neutral,[0.03793254 0.8807318  0.08133554]
01-11-2017,"Dec. gold at $1,279.40/oz in electronic trade, up from $1,277.30 settlement",negative,[0.9426813  0.0306888  0.02662998]
04-06-2018,gold prices remain vulnerable as bearish trends persist,neutral,[0.03825771 0.92364526 0.03809709]
25-07-2017,cabinet to consider increasing gold holding limit: sources,positive,[0.07359421 0.09635008 0.8300557 ]
10-07-2017,"August gold climbs $3.50, or 0.3%, to settle at $1,213.20/oz",negative,[0.8361347  0.11545625 0.04840905]
10-10-2018,India's September gold imports drop 14 percent on weak rupee: GFMS,neutral,[0.00817537 0.9698037  0.02202093]
01-06-2017,gold settles lower as private-sector hiring ups fed rate-hike odds,neutral,[0.09243904 0.7976807  0.10988022]
18-09-2017,gold prices suffer fifth decline in six sessions,neutral,[0.01588974 0.9672876  0.01682261]
15-02-2017,gold prices snap a 4-session skid,neutral,[0.02299144 0.96040154 0.01660706]
07-09-2018,gold edges higher as dollar slips against yen on trade jitters,neutral,[0.29505983 0.64586073 0.05907945]
16-06-2017,"Gold edges higher for the session, falls for the week",negative,[0.8348142  0.12954333 0.03564242]
29-12-2017,gold rate today: gold trades higher in morning deals; should you buy?,positive,[0.40636215 0.02876171 0.5648762 ]
24-08-2017,Gold prices hold modest losses after weekly jobless claims,neutral,[0.07389659 0.91019714 0.01590629]
10-05-2017,"Gold futures climb to Rs 28,085 on firm global cues",negative,[0.7392817  0.1871303  0.07358803]
07-11-2017,"demonetisation spoils gold appetite, demand falls",neutral,[0.01462311 0.89282995 0.09254689]
18-06-2018,5 reasons the drop in gold prices shouldn't worry investors,neutral,[0.29158148 0.5258331  0.18258542]
14-05-2018,mining : how much gold is left in the world?,positive,[0.02383555 0.14586565 0.83029884]
04-10-2018,the spectator : want to predict the price of gold? then watch hollywood films,positive,[0.03327957 0.03354304 0.9331774 ]
07-06-2018,"june gold up 0.4% at $1,305.70/oz.",negative,[0.81104517 0.14705381 0.04190092]
19-06-2018,"gold futures settle lower, a dime above lowest finish of the year",neutral,[0.00857372 0.9704276  0.02099873]
07-04-2017,"June gold up $18.30, or 1.5%, to $1,271.80 an ounce",negative,[0.93216795 0.04162253 0.02620957]
15-06-2017,Gold gains as stocks fall; weak US data spurs safe-haven demand,neutral,[0.194493   0.7743604  0.03114656]
09-08-2018,Gold steadies as yuan holds onto gains versus the dollar,negative,[0.66133803 0.25769392 0.08096809]
26-01-2017,"February gold off $8.30, or 0.7%, at $1,189.50/oz.",neutral,[0.03623495 0.9372536  0.02651142]
02-08-2017,gold edges away from 7-week high as dollar steadies,neutral,[0.23850948 0.7203432  0.04114736]
26-01-2017,Gold holds losses after jobless-claims report,neutral,[0.09224569 0.88365144 0.02410288]
31-01-2018,"february gold up 0.4% at $1,345.70/oz.",negative,[0.8272518  0.13632257 0.03642562]
02-02-2018,gold prices lose more than 1% for the week,neutral,[0.02040997 0.96501446 0.01457568]
20-09-2017,Gold prices to trade sideways Angel Commodities,positive,[0.22642949 0.17710999 0.5964605 ]
02-11-2017,Gold prices moves lower an hour ahead of Comex settlement,neutral,[0.01847347 0.9442238  0.03730273]
21-03-2017,"April gold up $12.50, or 1%, to settle at $1,246.50/oz",negative,[0.90299004 0.0661011  0.03090879]
29-03-2017,"Gold for June delivery loses $2, or 0.2%, to finish at $1,256.80/oz",neutral,[0.01756825 0.959963   0.02246875]
05-01-2017,"February gold gains $9.50, or 0.8%, at $1,174.80/oz. after jobless-claims report",neutral,[0.1250686  0.83569926 0.0392321 ]
06-06-2018,india : gold imports by india have slumped for a fifth month,neutral,[0.00993568 0.9742701  0.01579411]
29-10-2018,gold stocks will benefit from cyclical change,negative,[0.81594133 0.00853307 0.17552553]
09-04-2018,"june gold climbs $4, or 0.3%, to $1,340.10/oz",negative,[0.9036246  0.06580107 0.03057442]
17-01-2018,mining : `disastrous' deals sideline gold-mining m&a as metal rises,neutral,[0.01731149 0.8903057  0.09238274]
01-05-2018,fort knox is why we don't have a gold standard,positive,[0.05918996 0.03596875 0.9048413 ]
17-02-2017,"Gold futures down for the session, but gain 0.3% for the week",neutral,[0.01515749 0.95496213 0.02988034]
27-08-2018,"gold steady as short-covering, fed chair's remarks lend support",negative,[0.705502   0.11177757 0.18272054]
15-11-2018,paulson keeps stake in gold investments during third-quarter,positive,[0.06603411 0.01995854 0.91400737]
16-02-2017,Gold rises as dollar gives up gains; Fed rate hike in focus,neutral,[0.43063086 0.4518423  0.11752688]
17-04-2017,Gold ends higher as tensions between U.S. and North Korea weigh on the dollar,negative,[0.80057967 0.15387295 0.0455474 ]
02-08-2018,charts : gold prices could slide to $1204 on a break to this week's low,neutral,[0.0088075  0.97021735 0.02097505]
03-01-2018,gold prices hold steady near 3-1/2 month highs,negative,[0.81375486 0.10063218 0.08561302]
08-11-2017,"Dec. gold gains $7.90, or 0.6%, to settle at $1,283.70.oz",negative,[0.7836421  0.16282205 0.05353589]
22-11-2017,"December gold up 0.3% to $1,285.60 an ounce",negative,[0.94202024 0.03304699 0.02493272]
17-01-2017,Gold's lustrous rise in 2017 may be best sign Trump rally is fading,negative,[0.77334714 0.03000862 0.19664422]
01-12-2017,turkish gold trader implicates erdogan in iran money laundering,neutral,[0.0263179  0.7056866  0.26799545]
17-10-2017,"Gold suffers biggest one-day loss in nearly 4 weeks, ends at lowest since Oct. 9",neutral,[0.01038812 0.9676499  0.02196198]
26-04-2017,"June gold down $3, or 0.2%, to settle at $1,264.20/oz",neutral,[0.01823476 0.96062666 0.02113859]
30-05-2018,o'leary and holmes are both right on gold & gold stocks,positive,[0.073217   0.01507277 0.91171026]
24-04-2017,gold falls as stocks gain after french election result,neutral,[0.07510115 0.77951545 0.14538339]
15-06-2017,Gold prices log lowest finish in 3 weeks as 'fearless' Fed turns up rate-hike heat,neutral,[0.01414948 0.93756115 0.04828941]
17-01-2018,crypto investors are fleeing to gold,neutral,[0.02947739 0.6183943  0.35212827]
31-10-2018,lbma 2018 boston: right on gold price at last?,positive,[0.05437639 0.04734032 0.8982833 ]
19-10-2018,Gold imports up 4% YoY to $17.63 billion in April-September period,negative,[0.9533094  0.02324129 0.02344924]
27-12-2017,gold miners look exceptionally cheap heading into 2018 (gdx),negative,[0.70988566 0.02205989 0.2680545 ]
17-01-2017,"Gold extends gains, up $21.70, or 1.8%, to $1,217.80 an ounce",negative,[0.94480604 0.02792396 0.02727001]
21-03-2017,Gold settles at a nearly 3-week high as dollar drops,negative,[0.5232224  0.32327166 0.15350594]
19-01-2017,"Gold futures remain down around 0.7% at $1,203.20/oz after ECB holds on rates",neutral,[0.00791041 0.9680759  0.02401366]
02-02-2018,"Gold futures jump to Rs 30,677 ",positive,[0.33872074 0.05942608 0.6018532 ]
23-08-2017,Gold edges higher on softer dollar; focus on Jackson Hole conference,negative,[0.742332   0.1388901  0.11877801]
03-05-2018,India's gold demand falls by 12% to 115.6 ton in Q1: WGC,neutral,[0.00962034 0.96753734 0.02284231]
05-06-2017,"August gold rises $5, or 0.4%, at $1,285.20/oz.",negative,[0.86127365 0.10360917 0.03511716]
28-06-2017,"Gold futures up at Rs 28,647 on positive global cues",negative,[0.90528756 0.04509804 0.04961446]
13-09-2017,"December gold rises 0.4% at $1,338/oz.",negative,[0.77043915 0.19517969 0.03438112]
17-01-2018,"Gold rises to Rs 31,100 despite weak global cues",negative,[0.92874205 0.04174455 0.02951342]
22-05-2017,Gold prices settle at a three-week high,neutral,[0.23038088 0.56295115 0.20666794]
25-08-2017,Gold pares loss slightly after durable-goods report,neutral,[0.33994007 0.6172574  0.04280249]
13-07-2018,"westpac : gold prices to end the year below $1,200 as fed takes priority",neutral,[0.01068176 0.9427723  0.04654597]
27-12-2017,"gold extends rise to 3-week high, as metals complex settles up",negative,[0.89154506 0.03593045 0.07252447]
10-11-2017,"govt fixes sovereign gold bond rate at rs 2,961/gram",positive,[0.05869659 0.06897109 0.8723323 ]
23-01-2018,Gold rises on wobbly dollar; stocks surge after US govt shutdown ends,neutral,[0.25678387 0.666327   0.07688908]
24-11-2017,"December gold settles lower, books 1st weekly drop in three weeks",neutral,[0.01090459 0.9714154  0.01768002]
22-02-2017,Gold up in Asia despite Fed minutes showing rate hike in play,negative,[0.7768312  0.14247526 0.08069358]
29-06-2018,"bmo : gold likely to average $1,293 an ounce in 2019",negative,[0.7965832  0.01695099 0.18646584]
13-08-2018,platinum ends 10-year low as turkey roils; gold sinks to 1 �-year nadir,neutral,[0.03011543 0.92129153 0.04859301]
20-10-2017,"Gold, silver sparkle on Diwali Muhurat trade",positive,[0.11834195 0.02186995 0.8597881 ]
06-04-2017,"June gold up $4.90, or 0.4%, at $1,253.40/oz.",negative,[0.82158524 0.13921136 0.03920341]
11-10-2017,"Gold settles lower, then recovers some lost ground after Fed minutes",neutral,[0.13979231 0.7147506  0.1454571 ]
12-12-2018,gold settles higher as november inflation data meet expectations and the dollar takes a dip,negative,[0.89234793 0.07040577 0.03724619]
16-08-2017,Gold prices gain more ground in electronic trading after Fed minutes,negative,[0.5663375  0.08698134 0.34668115]
24-07-2017,"Gold settles with a slight loss, ending its streak of gains",neutral,[0.12935877 0.80961704 0.06102417]
15-06-2018,"Gold retreats on strong dollar, despite China tariffs",neutral,[0.06985346 0.87385356 0.05629302]
20-11-2018,Gold edges up as dollar dips on US interest rate uncertainty,negative,[0.659617   0.27867472 0.06170828]
17-11-2017,"Get ready for the Fed to trigger the next gold rally, says Jim Rickards",positive,[0.26310244 0.02579181 0.71110576]
20-04-2018,china : demand for gold projected to drive up prices from q3,negative,[0.9462963  0.02416093 0.02954281]
21-09-2017,"kyc cracker scares gold buyers, sales fall 50% since last month",neutral,[0.00948344 0.97348434 0.01703215]
22-03-2017,"Gold prices notch 5th straight gain, buoyed by a slump in risky assets",negative,[0.84813654 0.10609906 0.04576439]
05-01-2018,"australia gold exports fall, spur trade deficit",neutral,[0.00919483 0.9732885  0.01751664]
26-07-2017,"Fresnillo gold, silver production rises",positive,[0.21295944 0.01706561 0.769975  ]
29-11-2017,Gold edges up but investors largely unmoved by North Korea test,negative,[0.5651473  0.3527881  0.08206463]
14-09-2017,"Gold retakes Rs 31,000 level on demand push, soars Rs 650",negative,[0.9195774  0.0295332  0.05088934]
20-09-2017,"Dec. gold climbs $5.80, 0.4%, to settle at $1,316.40/oz",negative,[0.84779495 0.10494855 0.04725649]
06-08-2018,"russia, kazakhstan, turkey gold purchase climb during first half of 2018",negative,[0.89807004 0.05482097 0.04710893]
17-11-2017,Govt floats third series of gold bonds,positive,[0.08123626 0.0178419  0.9009219 ]
06-09-2017,seventy-eight billion reasons why bitcoin's the new gold,positive,[0.0900961  0.01394053 0.8959633 ]
27-12-2017,"money : from gold, to paper, to bitcoin: progressive guide to de-moneying currency",positive,[0.11792412 0.01260885 0.8694671 ]
28-11-2017,marin katusa : bitcoin is hurting the junior gold market,neutral,[0.0109935  0.9678045  0.02120198]
30-06-2017,Gold pares loss slightly after sentiment reading,neutral,[0.27538726 0.68789524 0.03671745]
07-07-2017,Gold prices dip ahead of US non-farm payrolls data,neutral,[0.0403125  0.8836718  0.07601576]
14-06-2017,Gold books its first gain in 6 sessions as dollar falls,negative,[0.7609917  0.1732918  0.06571651]
10-07-2018,"gold ends lower, gives back previous day's gains as dollar perks up",neutral,[0.25493422 0.70330656 0.04175928]
19-10-2017,"Gold futures hold gains after jobless claims, Philly Fed data",neutral,[0.22221789 0.626818   0.15096413]
23-08-2017,Gold prices recoup much of the previous day's 0.4% loss,negative,[0.5275908  0.42426643 0.0481428 ]
01-11-2017,Barrick Gold downgraded to sector perform from outperform at RBC Capital,neutral,[0.02057318 0.94003373 0.03939306]
19-07-2017,"Gold edges up to Rs 29,110 on firm global cues, spot demand",negative,[0.94411224 0.02820949 0.02767829]
01-11-2018,jp morgan to tokenise gold using quorum blockchain,positive,[0.05694577 0.01311061 0.9299437 ]
25-01-2017,"Feb. gold loses $13, or 1.1%, to finish at $1,197.80/oz",neutral,[0.01299289 0.96608555 0.02092161]
13-10-2017,"Dec. gold settles at $1,304.60/oz, up $8.10, or 0.6%",negative,[0.93883616 0.0366125  0.02455134]
06-01-2017,"Gold off $3.50, or 0.3%, at $1,177.80/oz. after jobs report",neutral,[0.02156078 0.93704337 0.04139579]
31-05-2017,"Gold settles higher, then slips in electronic trade after Fed Beige Book",neutral,[0.1713173  0.7130167  0.11566597]
25-05-2017,"June gold settles at $1,256.40/oz, up $3.30, or 0.3%",negative,[0.93753004 0.03771449 0.02475541]
13-03-2018,gold prices may break 2-month range on us inflation data,negative,[0.6800239  0.27468053 0.04529545]
30-08-2018,charts : gold price reversal gaining legitimacy,negative,[0.76377326 0.15871184 0.07751489]
21-10-2017,"government fixes sovereign gold bond rate at rs 2,971 per gram",positive,[0.04623425 0.04897203 0.90479374]
28-08-2017,gold climbs to 1-week high after yellen's speech,negative,[0.87557673 0.04673805 0.07768519]
14-11-2017,Gold settles higher as U.S. dollar index falls to a nearly 3-week low,neutral,[0.04008801 0.92990047 0.03001154]
22-10-2018,bofaml recommending gold as safe haven option and value play,positive,[0.26695812 0.01104544 0.7219964 ]
11-04-2017,Gold settles at a 5-month high as investors focus on geopolitics,negative,[0.4006274  0.39909014 0.2002825 ]
17-01-2018,gold prices ease back a bit from their settlement level after fed beige book,neutral,[0.4231012  0.5120939  0.06480492]
10-03-2017,Gold prices lose about 2% for the week,neutral,[0.01510103 0.9689339  0.01596511]
